"nfid","countrycode"
70045280,AR
60033344,AR
70011200,AR
70041960,AR
60024944,AR
70044696,AR
60033340,AR
70018296,AR
60027724,AR
70044880,AR
60034568,AR
60026136,AR
70040680,AR
70002008,AR
70056664,AR
70044896,AR
70041960,AR
60026832,AR
70021640,AR
70057256,AR
70023968,AR
70051664,AR
60020808,AR
70035184,AR
60033328,AR
60034544,AR
70044864,AR
60034560,AR
60022960,AR
70021656,AR
60031224,AR
80025496,AR
60037380,AR
60027728,AR
60031260,AR
70177016,AR
60025060,AR
70001992,AR
60033308,AR
70019056,AR
70060792,AR
70048592,AR
70018728,AR
60033296,AR
70204976,AR
70011200,AR
70140376,AR
70059032,AR
70044256,AR
70155576,AR
70021640,AR
70000096,AR
70047320,AR
70077720,AR
70052248,AR
70001992,AR
70045272,AR
70011208,AR
70021640,AR
70043240,AR
70021664,AR
60024908,AR
60036232,AR
60036256,AR
70021640,AR
60027712,AR
70019504,AR
70017712,AR
70075064,AR
70032592,AR
70020728,AR
70045280,AR
70287696,AR
70028888,AR
70256272,AR
70019504,AR
70045856,AR
60033304,AR
70205016,AR
70042688,AR
70308848,AR
70019512,AR
80047032,AR
70057648,AR
60022644,AR
60022264,AR
70043376,AR
60036736,AR
80065144,AR
60033288,AR
70038920,AR
60025116,AR
80108848,AR
80106152,AR
70001232,AR
70098888,AR
80038440,AR
80134600,AR
70044888,AR
60025504,AR
70083480,AR
70308792,AR
80117344,AR
70095264,AR
60025024,AR
60031244,AR
60033228,AR
80182656,AR
70054088,AR
60024976,AR
80229952,AR
80038440,AR
70039408,AR
70000192,AR
70055856,AR
70075776,AR
70042752,AR
70068528,AR
70109880,AR
81020720,AR
81072832,AR
81072880,AR
81141688,AR
70266992,AR
81172264,AR
70205712,AR
70059024,AR
70045000,AR
70142824,AR
70041152,AR
70028880,AR
70037496,AR
81254480,AR
81254496,AR
81254472,AR
81254480,AR
81254472,AR
81254496,AR
81254480,AR
81254496,AR
81254472,AR
70059328,AR
81270680,AR
81271192,AR
70018448,AR
81003920,AR
81252528,AR
70142416,AR
81284344,AR
81349560,AR
81354216,AR
70100560,AR
70050384,AR
70045200,AR
60032600,AR
60031984,AR
70108312,AR
81444160,AR
60034520,AR
70037504,AR
70047304,AR
70198032,AR
70196240,AR
70205704,AR
70079160,AR
81464600,AR
60026108,AR
70202144,AR
70290904,AR
70197440,AR
70206632,AR
70137752,AR
70206128,AR
70242080,AR
70241424,AR
70243464,AR
70243424,AR
70302616,AR
70302576,AR
70213464,AR
70286808,AR
70234440,AR
70304256,AR
70162960,AR
70294800,AR
70259208,AR
70114344,AR
70128696,AR
70166232,AR
70115880,AR
70221344,AR
70177056,AR
70205672,AR
70117304,AR
70242632,AR
70258488,AR
70263816,AR
70241344,AR
80031592,AR
70304256,AR
70234440,AR
70234440,AR
70125232,AR
70140920,AR
70252976,AR
70221440,AR
70251896,AR
70123200,AR
70272744,AR
80027560,AR
70125928,AR
70117304,AR
80009096,AR
70302576,AR
70139376,AR
70236016,AR
70136152,AR
70219488,AR
70172488,AR
70126576,AR
70144648,AR
70216224,AR
70159320,AR
70217912,AR
70117296,AR
70243440,AR
70202056,AR
70217904,AR
70212504,AR
70112368,AR
70115632,AR
70109896,AR
70153856,AR
70243448,AR
70210432,AR
70142544,AR
70142824,AR
70111320,AR
70095136,AR
70120608,AR
70244168,AR
70137744,AR
70195800,AR
70221488,AR
70218752,AR
70184048,AR
70230088,AR
70251672,AR
70181592,AR
70119440,AR
70132720,AR
70117288,AR
70244160,AR
70122320,AR
70220032,AR
70217912,AR
70119808,AR
70230640,AR
70124800,AR
70127232,AR
70216224,AR
70220032,AR
70259176,AR
70215456,AR
70285368,AR
70118400,AR
70176656,AR
70126488,AR
70184152,AR
70258296,AR
70207360,AR
70178616,AR
70228024,AR
70293104,AR
70270952,AR
70184056,AR
70225000,AR
70266992,AR
70180296,AR
70245032,AR
70264888,AR
70197208,AR
70278880,AR
70142824,AR
70181656,AR
70237056,AR
70139072,AR
70229040,AR
70243456,AR
70241336,AR
70303288,AR
80020936,AR
70258368,AR
80006144,AR
70123120,AR
70150440,AR
70260992,AR
70202336,AR
70158424,AR
70219528,AR
70165480,AR
70211472,AR
70242536,AR
70303288,AR
70139072,AR
70229040,AR
70229048,AR
70229040,AR
70217384,AR
70262616,AR
70189312,AR
70202136,AR
70128696,AR
70202136,AR
70155536,AR
70208104,AR
70297472,AR
70202128,AR
70139552,AR
70185192,AR
70144648,AR
70243256,AR
70229040,AR
70228096,AR
70137752,AR
70213472,AR
70236560,AR
70205688,AR
70205688,AR
80040120,AR
70153176,AR
70213472,AR
80008584,AR
80035680,AR
80035688,AR
70250400,AR
70123712,AR
70217376,AR
70258360,AR
80075176,AR
70217912,AR
80066800,AR
70117312,AR
80059048,AR
70127224,AR
70155536,AR
70184048,AR
70184056,AR
70229040,AR
70124328,AR
70155536,AR
70149576,AR
70185024,AR
70167072,AR
80083928,AR
80093832,AR
70184048,AR
70216224,AR
70199736,AR
80091344,AR
70201872,AR
70130440,AR
70127240,AR
70213464,AR
80095232,AR
70304248,AR
80108776,AR
70151296,AR
70290912,AR
70129456,AR
70241120,AR
80134440,AR
80134520,AR
80097248,AR
70099112,AR
70213472,AR
70202144,AR
80126544,AR
80127648,AR
80111920,AR
80111880,AR
70170280,AR
80107216,AR
80135640,AR
70236584,AR
80126208,AR
80126152,AR
80126208,AR
80126216,AR
80039968,AR
80175624,AR
80154640,AR
70268208,AR
70236016,AR
70176968,AR
80165856,AR
70261056,AR
70204288,AR
80165856,AR
80166512,AR
80178944,AR
70229496,AR
70257776,AR
70144560,AR
80198768,AR
70152960,AR
70144328,AR
70129392,AR
80236280,AR
80236280,AR
70139072,AR
70139072,AR
70219528,AR
70187504,AR
80245648,AR
70229048,AR
70213512,AR
70139544,AR
70229552,AR
70225600,AR
80988064,AR
70229040,AR
70241088,AR
70254344,AR
70185136,AR
70139072,AR
70139072,AR
70123128,AR
70185144,AR
81036528,AR
81020728,AR
70256448,AR
81010872,AR
81010872,AR
81010864,AR
81072920,AR
70157264,AR
81137488,AR
81151080,AR
70181736,AR
81219480,AR
81219408,AR
70139560,AR
70262784,AR
81254752,AR
81254784,AR
81254744,AR
81254736,AR
81254784,AR
81260304,AR
81254776,AR
81254784,AR
81270776,AR
70217928,AR
81254752,AR
81270776,AR
81252528,AR
70302480,AR
81270776,AR
81314928,AR
81003928,AR
81334880,AR
81334872,AR
70261048,AR
70189056,AR
81351464,AR
81332616,AR
81424368,AR
70298944,AR
81453968,AR
81450272,AR
81450280,AR
81450280,AR
81450184,AR
81450288,AR
81450288,AR
81450320,AR
81450432,AR
70241808,AR
81412208,AR
81478208,AR
81450304,AR
70272704,AR
70262456,AR
70271600,AR
70295064,AR
70178216,AR
70305880,AR
70281312,AR
70293320,AR
70284280,AR
80027568,AR
80018984,AR
70300624,AR
70281344,AR
80000136,AR
80011824,AR
70304248,AR
80009360,AR
70268448,AR
70290568,AR
70242312,AR
70300800,AR
80019504,AR
80004480,AR
70308280,AR
80003480,AR
80002624,AR
80011608,AR
70296344,AR
70278936,AR
80032640,AR
70267728,AR
70299872,AR
80026432,AR
70271776,AR
70299288,AR
70304184,AR
70242312,AR
70290568,AR
70295416,AR
80011536,AR
80020760,AR
70305216,AR
80005440,AR
70273400,AR
80008432,AR
80009432,AR
70299904,AR
70304192,AR
70266680,AR
80026224,AR
70292936,AR
70301872,AR
80010720,AR
70306704,AR
70304184,AR
70304192,AR
70253400,AR
70263872,AR
70254520,AR
70222856,AR
70281560,AR
70263888,AR
70243344,AR
80005776,AR
70273616,AR
70285784,AR
70272272,AR
70256944,AR
70283264,AR
70298992,AR
70273616,AR
70269568,AR
70283200,AR
80005496,AR
70273640,AR
70308048,AR
70286880,AR
80002480,AR
70295560,AR
70242800,AR
70295760,AR
70242800,AR
70302696,AR
70262640,AR
70254928,AR
70254352,AR
70262784,AR
70268488,AR
70267264,AR
80007760,AR
80032080,AR
70287288,AR
80018048,AR
70275776,AR
70299544,AR
70219528,AR
70254352,AR
70292832,AR
70254352,AR
70229048,AR
70295064,AR
70273616,AR
70269488,AR
70270408,AR
70267240,AR
70253168,AR
80041600,AR
80031632,AR
70264800,AR
70264800,AR
70297816,AR
70241752,AR
70265232,AR
70298736,AR
70267728,AR
70261672,AR
70289560,AR
80036408,AR
70305904,AR
70293808,AR
70305896,AR
80000464,AR
80042304,AR
70264800,AR
70295696,AR
70264800,AR
70302192,AR
80031536,AR
80015784,AR
80029624,AR
70270776,AR
70306648,AR
80046344,AR
80013944,AR
70267240,AR
80020544,AR
80040328,AR
80062984,AR
80044896,AR
70243456,AR
70294664,AR
80061944,AR
80033776,AR
70305896,AR
80049208,AR
80024056,AR
70208104,AR
80048096,AR
70291088,AR
70243464,AR
80073184,AR
80008656,AR
80065488,AR
70292864,AR
70286696,AR
70309680,AR
80052672,AR
80036744,AR
80081848,AR
70305920,AR
70291608,AR
70293464,AR
80063584,AR
70263888,AR
70285584,AR
80083752,AR
70308000,AR
80052712,AR
70301472,AR
80015280,AR
70293704,AR
70298416,AR
70291096,AR
70297088,AR
80026240,AR
70299744,AR
70295736,AR
70291096,AR
70307664,AR
80005456,AR
70293672,AR
80013552,AR
70305896,AR
80014752,AR
80019704,AR
80103408,AR
80015152,AR
80102160,AR
80102264,AR
70307656,AR
80108368,AR
70305904,AR
70299904,AR
70301480,AR
80113544,AR
80018696,AR
70305952,AR
80108848,AR
70301472,AR
70275280,AR
80116760,AR
80038296,AR
70299744,AR
80134328,AR
80134432,AR
80117584,AR
80017168,AR
70305904,AR
80138032,AR
80126664,AR
80008184,AR
80152088,AR
80017216,AR
80113784,AR
80014728,AR
80155768,AR
70309224,AR
80027664,AR
80142000,AR
80141336,AR
80141336,AR
80017528,AR
80163056,AR
70301280,AR
80174432,AR
80154512,AR
70309696,AR
80044560,AR
80170112,AR
80127504,AR
80141256,AR
80015280,AR
80165296,AR
80165728,AR
80165848,AR
80165856,AR
70275752,AR
80165856,AR
70293704,AR
70299808,AR
80187024,AR
70300208,AR
80127520,AR
80189184,AR
80166432,AR
80211752,AR
70296736,AR
80191008,AR
80231064,AR
80235856,AR
80995576,AR
80236280,AR
81011056,AR
70303432,AR
70303496,AR
70303424,AR
70303424,AR
70285696,AR
70303424,AR
80190104,AR
80190104,AR
70303432,AR
70254344,AR
70229048,AR
80190000,AR
70275072,AR
70303432,AR
81033648,AR
81030200,AR
80017264,AR
81036528,AR
81036536,AR
80995576,AR
81020688,AR
81010864,AR
81010872,AR
81010872,AR
80011544,AR
81010864,AR
70296328,AR
81010864,AR
81043536,AR
81043544,AR
81072952,AR
81072848,AR
81077864,AR
81092768,AR
81077864,AR
81186616,AR
80057136,AR
80176232,AR
81186528,AR
70278992,AR
81172912,AR
81228864,AR
80036400,AR
81252520,AR
81228400,AR
81224552,AR
81254800,AR
81278096,AR
81274984,AR
81281408,AR
81281424,AR
70273256,AR
81281448,AR
81281416,AR
81325440,AR
80019592,AR
81344088,AR
81334872,AR
81240440,AR
81228408,AR
81334888,AR
81334864,AR
81349560,AR
81360624,AR
81228712,AR
81318048,AR
81318048,AR
81318056,AR
81438160,AR
80127440,AR
80009248,AR
81466064,AR
81450184,AR
81450184,AR
81450192,AR
81450272,AR
81450280,AR
81450280,AR
81450192,AR
81450320,AR
81504280,AR
70292992,AR
81504288,AR
70298456,AR
80011856,AR
80018992,AR
80038296,AR
80021952,AR
80010656,AR
80018296,AR
80029368,AR
70302480,AR
80017536,AR
80025600,AR
70308064,AR
80025384,AR
80011848,AR
80020544,AR
80013280,AR
80007944,AR
80025272,AR
80025552,AR
80022272,AR
80022632,AR
80038336,AR
80038160,AR
80025744,AR
80037480,AR
80038416,AR
80039392,AR
80015208,AR
80015344,AR
80044728,AR
80028208,AR
80039816,AR
80030344,AR
80058848,AR
80062064,AR
80044800,AR
80049904,AR
80060416,AR
80025168,AR
80044968,AR
70139384,AR
80067944,AR
80050064,AR
80067616,AR
80045920,AR
80066800,AR
80011208,AR
80011624,AR
80053656,AR
80046776,AR
80027040,AR
80031664,AR
80050008,AR
80027160,AR
80038360,AR
80070184,AR
80043048,AR
80044544,AR
80023688,AR
80059464,AR
80038440,AR
80045784,AR
80045808,AR
80049712,AR
80046352,AR
80049064,AR
80058424,AR
80025528,AR
80079472,AR
80037760,AR
80002312,AR
80074504,AR
80050008,AR
80042368,AR
80081408,AR
80039520,AR
80049952,AR
80090672,AR
80000768,AR
80039656,AR
80057968,AR
80028736,AR
80035464,AR
80049872,AR
80083592,AR
80074248,AR
80053560,AR
80080432,AR
80077920,AR
80084448,AR
80092656,AR
80062048,AR
80091232,AR
80043576,AR
80073488,AR
80066080,AR
80021752,AR
80059408,AR
80092880,AR
80026504,AR
80022456,AR
80094456,AR
80051136,AR
80080616,AR
80039720,AR
80085416,AR
80058424,AR
80062112,AR
80073288,AR
80046248,AR
80058464,AR
80076464,AR
80031800,AR
80049952,AR
80101096,AR
80031632,AR
80060384,AR
80094560,AR
80085440,AR
80095864,AR
70285584,AR
80077976,AR
80063992,AR
80025920,AR
80099752,AR
80094272,AR
80091880,AR
80103320,AR
80098472,AR
80023616,AR
80106136,AR
80027984,AR
80049952,AR
80046312,AR
80082864,AR
80033392,AR
80048064,AR
80048944,AR
80044096,AR
80045824,AR
80075008,AR
80037280,AR
80101496,AR
80049872,AR
80049936,AR
80080728,AR
80105456,AR
80057968,AR
80046192,AR
80063264,AR
80026224,AR
80106928,AR
80104024,AR
80103008,AR
80036416,AR
80091576,AR
80101400,AR
80080616,AR
80102160,AR
80023080,AR
80095624,AR
80106128,AR
80075592,AR
80076696,AR
80052544,AR
80097352,AR
80087552,AR
80114800,AR
80097768,AR
80108384,AR
80084160,AR
80067288,AR
80094728,AR
80106976,AR
80066224,AR
80097352,AR
80063704,AR
80117784,AR
80097040,AR
80064456,AR
80057280,AR
80102208,AR
80114224,AR
80093200,AR
80091744,AR
80089200,AR
80071344,AR
80108472,AR
80105672,AR
80106424,AR
80013272,AR
80057608,AR
80108760,AR
80047616,AR
80013872,AR
80108160,AR
80114112,AR
80078200,AR
80118928,AR
80115688,AR
80108432,AR
80096760,AR
80097432,AR
80057688,AR
80058488,AR
80133120,AR
80093104,AR
80118160,AR
80066888,AR
80063952,AR
80081616,AR
80057608,AR
80128096,AR
80057608,AR
80064512,AR
80064512,AR
80065384,AR
80106304,AR
80108368,AR
80092888,AR
80101824,AR
80100168,AR
80095696,AR
80113648,AR
80134496,AR
80134432,AR
80127000,AR
80134504,AR
80134608,AR
80134416,AR
80106968,AR
80097320,AR
80134512,AR
80134520,AR
80108984,AR
80081152,AR
80002536,AR
80106136,AR
80006232,AR
80013272,AR
80141856,AR
80115296,AR
80041656,AR
80091744,AR
80115464,AR
80128688,AR
80127560,AR
80075472,AR
80126648,AR
80095904,AR
80097472,AR
80108496,AR
80127888,AR
80116920,AR
80137872,AR
80115688,AR
80113040,AR
80117440,AR
80108448,AR
80095200,AR
80094648,AR
80094256,AR
80113200,AR
80066072,AR
80092856,AR
80099088,AR
80006168,AR
80075944,AR
80075944,AR
80131480,AR
80083976,AR
80018208,AR
80097688,AR
80036656,AR
80007776,AR
80025680,AR
80117464,AR
80117536,AR
80127464,AR
80148272,AR
80114872,AR
80133184,AR
80082752,AR
80091656,AR
80096544,AR
70260512,AR
80077128,AR
80109192,AR
80076160,AR
80123728,AR
80082944,AR
80117536,AR
80115032,AR
80120640,AR
80107040,AR
80077400,AR
80150608,AR
80141784,AR
80074224,AR
80082848,AR
80049872,AR
80109416,AR
80063152,AR
80118984,AR
80134800,AR
80149280,AR
80091936,AR
80104240,AR
80149136,AR
80098464,AR
80115104,AR
80147904,AR
80141784,AR
80113616,AR
80038360,AR
80117080,AR
80117744,AR
80142616,AR
80029200,AR
80098288,AR
80109536,AR
80160344,AR
80091248,AR
80065488,AR
80057168,AR
80098200,AR
80104416,AR
80119424,AR
80077416,AR
80073824,AR
80093296,AR
80128752,AR
80145808,AR
80098808,AR
80114464,AR
80160504,AR
80156928,AR
80104984,AR
80044952,AR
80144800,AR
80121352,AR
80117632,AR
80133336,AR
80142552,AR
80154688,AR
80163224,AR
80134888,AR
80136544,AR
80073904,AR
80105696,AR
80075824,AR
80116840,AR
80118000,AR
80154688,AR
80116920,AR
80121856,AR
80096784,AR
80109088,AR
80081960,AR
80137088,AR
80144448,AR
80099656,AR
80148920,AR
80135136,AR
80117936,AR
80161696,AR
80081960,AR
80155792,AR
80093104,AR
80149592,AR
80091864,AR
80095528,AR
80021688,AR
80025920,AR
80037472,AR
80031712,AR
80103816,AR
80103416,AR
80164216,AR
80127544,AR
80167464,AR
80157568,AR
80158800,AR
80158800,AR
80162992,AR
80113672,AR
80103424,AR
80149256,AR
80121384,AR
80081152,AR
80167840,AR
80098096,AR
80153272,AR
80119232,AR
80159952,AR
80103424,AR
80165920,AR
80158816,AR
80140952,AR
80153896,AR
80077416,AR
80141176,AR
80065176,AR
80064512,AR
80050896,AR
80093136,AR
80084088,AR
80144888,AR
80098840,AR
80036400,AR
80111416,AR
80162304,AR
80158576,AR
80096632,AR
80132960,AR
80117824,AR
80041416,AR
80174904,AR
80134888,AR
80126488,AR
80046312,AR
80045296,AR
80084800,AR
80111376,AR
80145144,AR
80103472,AR
80081952,AR
80132960,AR
80125512,AR
80170688,AR
80104240,AR
80179832,AR
80182056,AR
80170688,AR
80002664,AR
80106744,AR
80149144,AR
80048472,AR
80141184,AR
80156680,AR
80168304,AR
80141256,AR
80176264,AR
80164032,AR
80107736,AR
80170608,AR
80095312,AR
80106336,AR
80158040,AR
80162128,AR
80162136,AR
80103576,AR
80156760,AR
80173608,AR
80106504,AR
80115136,AR
80165848,AR
80165848,AR
80068120,AR
80083592,AR
80057280,AR
80107368,AR
80104416,AR
80157568,AR
80098288,AR
80050104,AR
80165080,AR
80045504,AR
80158920,AR
80121840,AR
80186864,AR
80144800,AR
80121840,AR
80109144,AR
80104320,AR
80103336,AR
80163408,AR
80163280,AR
80163264,AR
80162112,AR
80160728,AR
80166184,AR
80081368,AR
80161640,AR
80059328,AR
80158304,AR
80093104,AR
80093104,AR
80182656,AR
80176872,AR
80177680,AR
80153272,AR
80118528,AR
80185872,AR
80151960,AR
80147984,AR
80057920,AR
80117800,AR
80187104,AR
80167648,AR
80114504,AR
80190144,AR
80081376,AR
80184688,AR
80185424,AR
80184592,AR
80185368,AR
80058480,AR
80067832,AR
80106736,AR
80067832,AR
80180184,AR
80113704,AR
80152440,AR
80063600,AR
80048560,AR
80145696,AR
80141888,AR
80160360,AR
80162200,AR
80177832,AR
80190992,AR
80127520,AR
80117448,AR
80144456,AR
80163888,AR
80081224,AR
80126992,AR
80127440,AR
80127504,AR
80099200,AR
80060040,AR
80187224,AR
80118280,AR
80195824,AR
80103280,AR
80148072,AR
80155808,AR
80195520,AR
80173480,AR
80204928,AR
80157800,AR
80103312,AR
80202608,AR
80173000,AR
80185000,AR
80091312,AR
80116208,AR
80144352,AR
80103512,AR
80123776,AR
80191512,AR
80085312,AR
80049280,AR
80106232,AR
80107032,AR
80071344,AR
80196656,AR
80196048,AR
80163264,AR
80131232,AR
80094624,AR
80196048,AR
80208832,AR
80080512,AR
80093136,AR
80141960,AR
80188352,AR
80161336,AR
80163280,AR
80199128,AR
80082016,AR
80158248,AR
80223224,AR
80226024,AR
80215152,AR
80100648,AR
80144456,AR
80222896,AR
80233856,AR
80226864,AR
80107552,AR
80231064,AR
80227112,AR
80227112,AR
80227120,AR
80227112,AR
80215840,AR
80133152,AR
80987080,AR
80236096,AR
80227184,AR
80228320,AR
80245624,AR
80117456,AR
80188608,AR
80211136,AR
80992112,AR
80213888,AR
80106736,AR
80118032,AR
80099080,AR
80104256,AR
80087744,AR
80104648,AR
80126440,AR
70303496,AR
80065248,AR
80987112,AR
80150288,AR
80057752,AR
80084832,AR
80067904,AR
80227992,AR
81005088,AR
81014736,AR
80080000,AR
80092784,AR
80036192,AR
81030448,AR
81004160,AR
81036536,AR
81032832,AR
81032848,AR
80240280,AR
80232096,AR
80999984,AR
81020672,AR
81044856,AR
81043752,AR
81043344,AR
80094720,AR
80092928,AR
80065328,AR
80050104,AR
80085016,AR
80075016,AR
81010872,AR
80100168,AR
80100272,AR
80145624,AR
80150352,AR
80160688,AR
80157888,AR
80162504,AR
80141152,AR
80175648,AR
80044888,AR
80232504,AR
81077040,AR
81077848,AR
81092768,AR
81092768,AR
81104168,AR
81100000,AR
81036528,AR
80094096,AR
81001280,AR
81036520,AR
81073760,AR
80188728,AR
81170696,AR
81204912,AR
81206008,AR
81210232,AR
80127000,AR
81172904,AR
81172744,AR
81215568,AR
80074936,AR
80057584,AR
81172896,AR
80126992,AR
81224840,AR
81219448,AR
81213144,AR
81208528,AR
81228864,AR
80078736,AR
81244368,AR
80102016,AR
81260656,AR
81252520,AR
81252520,AR
81267632,AR
81254808,AR
80141776,AR
81287880,AR
81286920,AR
81289656,AR
81270776,AR
80102056,AR
81274960,AR
81274976,AR
81311720,AR
81281584,AR
81281584,AR
81330080,AR
81281384,AR
81314928,AR
81281384,AR
81314928,AR
81337288,AR
81329184,AR
80065384,AR
80081056,AR
81405680,AR
80058944,AR
81418320,AR
81457544,AR
81450184,AR
81450184,AR
81412224,AR
81464600,AR
81479840,AR
80082656,AR
81504288,AR
80240688,AR
81324672,AR
81280928,AR
81074664,AR
81381736,AR
81009944,AR
81305760,AR
80998856,AR
81319064,AR
81403288,AR
80994080,AR
81273728,AR
81078136,AR
81345776,AR
80988520,AR
81397264,AR
81025704,AR
81397896,AR
81039144,AR
81074112,AR
81205392,AR
81404848,AR
81002480,AR
81014544,AR
80220680,AR
80202880,AR
81362752,AR
81047296,AR
81103320,AR
81350432,AR
81347576,AR
81038592,AR
81167888,AR
81023616,AR
81139976,AR
80244336,AR
80994336,AR
81386960,AR
80217520,AR
81344368,AR
80208240,AR
81094064,AR
81413576,AR
81183728,AR
81210672,AR
81212480,AR
81028992,AR
81259384,AR
81117840,AR
81211704,AR
81308320,AR
81040400,AR
81354432,AR
81397312,AR
81161576,AR
81047664,AR
81205736,AR
80219056,AR
80244632,AR
81323200,AR
81397560,AR
81281000,AR
81351520,AR
81002768,AR
81350432,AR
81351072,AR
81365088,AR
81408624,AR
81175616,AR
81074672,AR
80237992,AR
81152840,AR
81025696,AR
81361120,AR
81043568,AR
81059920,AR
81351072,AR
81144152,AR
81247248,AR
80202832,AR
81078392,AR
81226888,AR
81415944,AR
81002000,AR
81089264,AR
81424088,AR
80994664,AR
81405208,AR
81218768,AR
81004536,AR
81270288,AR
81311792,AR
81093104,AR
81046616,AR
81113928,AR
80242816,AR
81334944,AR
80199032,AR
81011712,AR
81346056,AR
81219232,AR
81035120,AR
80996808,AR
81187208,AR
81035680,AR
81346192,AR
81130688,AR
81191408,AR
81149024,AR
81382296,AR
81248584,AR
81064552,AR
80990344,AR
81012640,AR
81403968,AR
81403968,AR
81282880,AR
81014008,AR
81166744,AR
81416352,AR
81211016,AR
80994336,AR
81267968,AR
80234808,AR
81183448,AR
81287256,AR
81244800,AR
81242568,AR
80241584,AR
81417008,AR
81012128,AR
81215552,AR
81359792,AR
81361120,AR
80240920,AR
81239552,AR
81368728,AR
81410264,AR
81381632,AR
81348768,AR
80206096,AR
81157376,AR
81272104,AR
81058720,AR
81079584,AR
81128448,AR
81046200,AR
81032568,AR
81267360,AR
81261672,AR
81354528,AR
81346320,AR
81342504,AR
81079256,AR
81447232,AR
81261632,AR
81437736,AR
81418304,AR
81001960,AR
81026216,AR
81277432,AR
81415288,AR
80991048,AR
81296776,AR
81413648,AR
81261680,AR
81382264,AR
81206928,AR
81018632,AR
81351080,AR
81047752,AR
81393928,AR
81266224,AR
81059384,AR
81179840,AR
81036560,AR
81211264,AR
81321984,AR
81393720,AR
80236320,AR
81351072,AR
81430264,AR
81415944,AR
81195432,AR
81139776,AR
81328824,AR
81140472,AR
81048728,AR
80990864,AR
81002464,AR
81387784,AR
81036936,AR
81399616,AR
81380624,AR
81059888,AR
81438808,AR
81424704,AR
80244952,AR
81121352,AR
81381744,AR
81351080,AR
